bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
3,230875,1.0,1.0,0.0
3,231053,1.0,1.0,0.0
3,231330,1.0,1.0,0.0
3,231474,1.0,1.0,0.0
3,231568,1.0,1.0,0.0
3,232648,1.0,1.0,0.0
3,233000,1.0,1.0,0.0
3,233052,1.0,1.0,0.0
3,233353,1.0,1.0,0.0
3,233589,1.0,1.0,0.0
3,233778,1.0,1.0,0.0
3,234101,1.0,1.0,0.0
3,235041,1.0,1.0,0.0
3,236273,1.0,1.0,0.0
3,238690,1.0,1.0,0.0
3,239003,1.0,1.0,0.0
3,240234,1.0,1.0,0.0
3,240849,1.0,1.0,0.0
3,241169,1.0,1.0,0.0
3,243449,1.0,1.0,0.0
3,243754,1.0,1.0,0.0
3,244149,1.0,1.0,0.0
3,245547,1.0,1.0,0.0
3,246310,1.0,1.0,0.0
3,247541,1.0,1.0,0.0
3,250043,1.0,1.0,0.0
3,251077,1.0,1.0,0.0
3,251219,1.0,1.0,0.0
3,251349,1.0,1.0,0.0
3,251466,1.0,1.0,0.0
3,251531,1.0,1.0,0.0
3,252164,1.0,1.0,0.0
3,252547,1.0,1.0,0.0
3,252781,1.0,1.0,0.0
3,253808,1.0,1.0,0.0
3,254384,1.0,1.0,0.0
3,254942,1.0,1.0,0.0
3,255494,1.0,1.0,0.0
3,255555,1.0,1.0,0.0
3,255924,1.0,1.0,0.0
3,256686,1.0,1.0,0.0
3,257368,1.0,1.0,0.0
3,258192,1.0,1.0,0.0
3,258887,1.0,1.0,0.0
3,259158,1.0,1.0,0.0
3,261136,1.0,1.0,0.0
3,261281,1.0,1.0,0.0
3,262319,1.0,1.0,0.0
3,262533,1.0,1.0,0.0
3,263011,1.0,1.0,0.0
3,263154,1.0,1.0,0.0
3,263595,1.0,1.0,0.0
3,263973,1.0,1.0,0.0
3,264393,1.0,1.0,0.0
3,264517,1.0,1.0,0.0
3,264910,1.0,1.0,0.0
3,265114,1.0,1.0,0.0
3,265436,1.0,1.0,0.0
3,265835,1.0,1.0,0.0
3,266704,1.0,1.0,0.0
3,267311,1.0,1.0,0.0
3,267899,1.0,1.0,0.0
3,269115,1.0,1.0,0.0
3,269256,1.0,1.0,0.0
3,269461,1.0,1.0,0.0
3,269709,1.0,1.0,0.0
3,269865,1.0,1.0,0.0
3,271193,1.0,1.0,0.0
3,271279,1.0,1.0,0.0
3,271374,1.0,1.0,0.0
3,271902,1.0,1.0,0.0
3,274862,1.0,1.0,0.0
3,274959,1.0,1.0,0.0
3,275462,1.0,1.0,0.0
3,276068,1.0,1.0,0.0
3,276398,1.0,1.0,0.0
3,277048,1.0,1.0,0.0
3,277296,1.0,1.0,0.0
3,277984,1.0,1.0,0.0
3,278552,1.0,1.0,0.0
3,279022,1.0,1.0,0.0
3,279061,1.0,1.0,0.0
3,279107,1.0,1.0,0.0
3,281746,1.0,1.0,0.0
3,282302,1.0,1.0,0.0
3,282878,1.0,1.0,0.0
3,283240,1.0,1.0,0.0
3,283914,1.0,1.0,0.0
3,284140,1.0,1.0,0.0
3,284521,1.0,1.0,0.0
3,284714,1.0,1.0,0.0
3,286540,1.0,1.0,0.0
